country_name_short,country_name,party_name_short,party_name_english,party_name,party_name_ascii,family_name_short,family_name,left_right,state_market,liberty_authority,eu_anti_pro,cmp,euprofiler,ees,castles_mair,huber_inglehart,ray,benoit_laver,chess,country_id,party_id,family_id
MLT,Malta,GP,Gozo Party,Gozo Party,Gozo Party,code,to be coded,,,,,,,,,,,,,72,1298,28
MLT,Malta,IE,Imperium Europa,Imperium Europa,Imperium Europa,right,Right-wing,,,,,,,,,,,,,72,1400,40
MLT,Malta,JP,Jones Party,Jones Party,Jones Party,code,to be coded,,,,,,,,,,,,,72,248,28
MLT,Malta,MLP,Malta Labour Party,Partit Laburista,Partit Laburista,soc,Social democracy,4.2105263157894735,5.112782026592053,6.315789473684211,2.406015145151237,54320,226,1470300,,,,7004,,72,1003,11
MLT,Malta,MWP,Malta Workers' Party,Malta Workers' Party,Malta Workers' Party,soc,Social democracy,,,,,,,,,,,,,72,1274,11
MLT,Malta,PCP,Progressive Constitutional Party,Progressive Constitutional Party,Progressive Constitutional Party,code,to be coded,,,,,,,,,,,,,72,217,28
MLT,Malta,PN,Nationalist Party,Partit Nazzjonalista,Partit Nazzjonalista,con,Conservative,5.71428549917121,4.661653920223837,6.917293448197211,9.398496527420841,54620,227,1470500,,,,7022,,72,984,26
MLT,Malta,etc,others,others,others,none,no family,,,,,,,,,,,,,72,455,12
MLT,Malta,none,no party affiliation,no party affiliation,no party affiliation,none,no family,,,,,,,,,,,,,72,1572,12
NIR,Northern Ireland,AP,Alliance Party,Alliance Party,Alliance Party,lib,Liberal,5.003216273882234,4.795321414345211,2.5789474186144368,7.368421052631579,,,,,2005,,7348,,48,103,6
NIR,Northern Ireland,C,Conservatives,Conservatives,Conservatives,con,Conservative,7.655555555555555,,,,,,,,2006,,,,48,37,26
NIR,Northern Ireland,DUP,Democratic Unionist Party,Democratic Unionist Party,Democratic Unionist Party,con,Conservative,6.975013359248283,3.3971292094180474,9.377990521882683,1.387559991133842,,433,,,2007,,7368,,48,766,26
NIR,Northern Ireland,LD,Liberal Democrats,Liberal Democrats,Liberal Democrats,lib,Liberal,4.666666666666667,,,,,,,,2004,,,,48,1266,6
NIR,Northern Ireland,NIWC,Northern Ireland Women's Coalition,Northern Ireland Women's Coalition,Northern Ireland Women's Coalition,code,to be coded,3.026315789473684,2.8654971875642476,2.4736841101395477,7.443608986703947,,,,,,,7388,,48,1201,28
NIR,Northern Ireland,PUP,Progressive Unionist Party,Progressive Unionist Party,Progressive Unionist Party,soc,Social democracy,3.732057370637594,1.8713449176989103,3.5526315789473686,4.342105263157895,,,,,,,7408,,48,132,11
NIR,Northern Ireland,SDLP,Social Democratic and Labour Party,Social Democratic and Labour Party (Páirtí Sóisialta Daonlathach an Lucht Oibre),Social Democratic and Labour Party (Pairti Soisialta Daonlathach an Lucht Oibre),soc,Social democracy,3.461722373962403,2.8708134199443633,6.17224894071879,8.133971314681212,,435,,,2003,,7428,,48,943,11
NIR,Northern Ireland,SF,Sinn Fein,Sinn Féin,Sinn Fein,com,Communist/Socialist,1.8320043100948233,2.0095694692511317,4.258373160111279,3.588516837672158,,434,,,2001,,7448,,48,1372,14
NIR,Northern Ireland,UUP,Ulster Unionist Party,Ulster Unionist Party,Ulster Unionist Party,con,Conservative,7.339872453923798,5.885167372854158,6.6028710415488945,3.253588425485737,,436,,,2008,,7468,,48,1388,26
NIR,Northern Ireland,WPI,Workers Party of Ireland,Workers Party of Ireland,Workers Party of Ireland,com,Communist/Socialist,2.033333333333333,,,,,,,,2002,,,,48,568,14
NLD,Netherlands,AOV,General Senior Union / Union 55+,Algemeen Ouderen Verbond / Unie 55+,Algemeen Ouderen Verbond / Unie 55+,spec,Special issue,,,,,,,,,,,,,8,112,16
NLD,Netherlands,ARP,Anti-Revolutionary Party,Anti-Revolutionaire Partij,Anti-Revolutionaire Partij,chr,Christian democracy,5.80666660308838,5.69333339691162,6.772424170176187,8.289393957455953,22523,,,,,1001,,1001,8,300,3
NLD,Netherlands,Bp,Farmers Party,Boerenpartij,Boerenpartij,agr,Agrarian,,,,,,,,,,,,,8,1595,2
NLD,Netherlands,CD,Centre Democrats,Centrum Democraten,Centrum Democraten,right,Right-wing,9.409722222222221,8.5714282989502,9.25,1.3120370149612417,,,,,2609,1009,,1009,8,209,40
NLD,Netherlands,CDA,Christian Democrats,Christen Democratisch Appèl,Christen Democratisch Appel,chr,Christian democracy,5.937571651354636,5.884832549346123,6.688169836496048,7.71572571235791,22521,293,1528521,1106,2604,1001,7040,1001,8,235,3
NLD,Netherlands,CHU,Christian Historical Union,Christelijk-Historische Unie,Christelijk-Historische Unie,chr,Christian democracy,5.827431059887536,5.412659360484071,7.2347066585641135,7.390913676546332,22525,,,,,1001,7060,1001,8,405,3
NLD,Netherlands,CP,Center Party,Centrum Partij,Centrum Partij,right,Right-wing,,,,,,,,,,,,,8,275,40
NLD,Netherlands,CPN,Communist Party of the Netherlands,Communistische Partij Nederland,Communistische Partij Nederland,com,Communist/Socialist,0.8,,,5,,,,1102,,1012,,,8,1194,14
NLD,Netherlands,CU,ChristianUnion -- Reformed Political Party,ChristenUnie – Staatkundig Gereformeerde Partij,ChristenUnie -- Staatkundig Gereformeerde Partij,chr,Christian democracy,6.3149999999999995,4.73,8.59,4.725,22526,294,1528526,,,,,1016,8,1206,3
NLD,Netherlands,D66,Libertarians,Democraten 66,Democraten 66,soc,Social democracy,4.506594319166959,4.991710550157647,1.762511944896298,8.623349248986493,22330,295,1528330,1105,2603,1004,7080,1004,8,345,11
NLD,Netherlands,DS70,Democratic Socialists 70,Democratisch Socialisten 70,Democratisch Socialisten 70,chr,Christian democracy,3.84333331743876,3.9133333651224764,3.5287879149119066,8.464141390058728,22524,,,,,,,1002,8,402,3
NLD,Netherlands,EVP,Evangelical Peoples Party,Evangelische Volkspartij,Evangelische Volkspartij,chr,Christian democracy,,,,,,,,,,1013,,,8,525,3
NLD,Netherlands,EuTr,Europe Transparent,Europa Transparant,Europa Transparant,spec,Special issue,,,,,,,,,,,,,8,339,16
NLD,Netherlands,GL,GreenLeft,GroenLinks,GroenLinks,eco,Green/Ecologist,2.045373433631763,2.110777524395993,1.6440396319565003,6.19734158465737,22110,297,1528110,,2601,1005,7100,1005,8,756,19
NLD,Netherlands,GPV,Reformed Political League,Gereformeerd Politiek Verbond,Gereformeerd Politiek Verbond,con,Conservative,8.144444380866158,5.80000019073486,8.6363639831543,3.4848485390345254,,,,1108,2606,1007,,1007,8,625,26
NLD,Netherlands,Groen,The Greens,De Groenen,De Groenen,eco,Green/Ecologist,,,,,,,,,,,,,8,2009,19
NLD,Netherlands,KNP,Catholic National Party,Katholieke Nationale Partij,Katholieke Nationale Partij,chr,Christian democracy,,,,,,,,,,,,,8,3,3
