country_name_short,country_name,party_name_short,party_name_english,party_name,party_name_ascii,family_name_short,family_name,left_right,state_market,liberty_authority,eu_anti_pro,cmp,euprofiler,ees,castles_mair,huber_inglehart,ray,benoit_laver,chess,country_id,party_id,family_id
DEU,Germany,none,no party affiliation,parteilos,parteilos,none,no family,,,,,,,,,,,,,54,610,12
DEU,Germany,uh,surplus seats,Überhangmandate,Überhangmandate,none,no family,,,,,,,,,,,,,54,1811,12
DNK,Denmark,CD,Centre Democrats,Centrumdemokraterne,Centrumdemokraterne,soc,Social democracy,5.560912791330213,4.802944710380153,4.930663460179381,9.146810176916299,13330,,,506,1105,204,5477,204,21,1324,11
DNK,Denmark,DF,Danish Peoples Party,Dansk Folkeparti,Dansk Folkeparti,right,Right-wing,8.226876734181456,5.708078315634477,7.895394691668052,1.1829574913309335,13720,69,1208720,,,,5495,215,21,1418,40
DNK,Denmark,DKP,Communist Party of Denmark,Danmarks Kommunistiske Parti,Danmarks Kommunistiske Parti,com,Communist/Socialist,1,,,0.4166666666666667,13220,,,502,,209,,,21,1239,14
DNK,Denmark,DS,Danish Union,Dansk Samling,Dansk Samling,code,to be coded,,,,,13953,,,,,,,,21,412,28
DNK,Denmark,DU,Independents Party,De Uafhængige,De Uafhaengige,lib,Liberal,,,,,13421,,,,,,,,21,538,6
DNK,Denmark,Enh,Red-Green Alliance,Enhedslisten / De Rød-Grønne,Enhedslisten / De Rod-Gronne,com,Communist/Socialist,0.8912280651561,1.2012280618098736,1.7523976203851515,0.9970525113114201,13229,,,,,214,5513,213,21,306,14
DNK,Denmark,FK,Common Course,Fælles Kurs,Faelles Kurs,com,Communist/Socialist,,,,,13221,,,,,210,,,21,367,14
DNK,Denmark,Fobe,People's Movement against the EU,Folkebevægelsen mod EU,Folkebevaegelsen mod EU,spec,Special issue,1.835,1.835,3.875,0.09166666666666674,,73,1208954,,,,,217,21,749,16
DNK,Denmark,FrP,Progress Party,Fremskridtspartiet,Fremskridtspartiet,lib,Liberal,9.025928973315056,8.839599032151071,6.650877061643101,1.4474520937044026,13951,,,510,1109,213,5531,212,21,978,6
DNK,Denmark,G/F,Greenland and Faroe Islands,Grønland og Færøerne,Gronland og Faeroerne,reg,Regional,,,,,,,,,,,,,21,1634,9
DNK,Denmark,Gron,Greens,De Gronne,De Gronne,eco,Green/Ecologist,1.1111111111111112,,,2.5,,,,,1101,207,,,21,797,19
DNK,Denmark,HV,Liberals of the Capital,Hovedstadens Venstre,Hovedstadens Venstre,lib,Liberal,,,,,,,,,,,,,21,1786,6
DNK,Denmark,IA,Community of the People,Inuit Ataqatigiit,Inuit Ataqatigiit,reg,Regional,,,,,,,,,,,,,21,1891,9
DNK,Denmark,Jf,Social Democratic Party (Faroe Islands),Javnaðarflokkurin,Javnaðarflokkurin,reg,Regional,,,,,,,,,,,,,21,1894,9
DNK,Denmark,JuBe,June Movement,JuniBevægelsen,JuniBevaegelsen,spec,Special issue,2.585,2.415,3.875,0.5404762188593584,,67,1208955,,,,,216,21,1450,16
DNK,Denmark,KF,Conservatives,Konservative,Konservative,con,Conservative,7.2185635792209855,7.293139023529854,6.505526255557408,7.7791228070175436,13620,66,1208620,509,1107,203,5549,203,21,590,26
DNK,Denmark,KrF,Christian People's Party,Kristeligt Folkeparti,Kristeligt Folkeparti,chr,Christian democracy,5.6982358945043465,5.088721752166747,7.047368589200478,5.830095182943067,13520,,,507,1106,211,5567,210,21,1331,3
DNK,Denmark,LC,Liberal Centre,Liberalt Centrum,Liberalt Centrum,lib,Liberal,,,,,13422,,,,,,,,21,1478,6
DNK,Denmark,NLA,New/Liberal Alliance,Ny/Liberal Alliance,Ny/Liberal Alliance,lib,Liberal,,,,,,72,1208421,,,,,,21,376,6
DNK,Denmark,RF,Justice Party,Retsforbund,Retsforbund,spec,Special issue,,,,0.23333333333333317,13952,,,,,205,,,21,1606,16
DNK,Denmark,RV,Danish Social-Liberal Party,Det Radikale Venstre,Det Radikale Venstre,lib,Liberal,4.873600272091276,5.318007439563144,2.390263171697917,7.859423610285713,13410,68,1208410,505,1104,202,5585,202,21,211,6
DNK,Denmark,SF,Socialist Peoples Party,Socialistisk Folkeparti,Socialistisk Folkeparti,com,Communist/Socialist,2.1347175640808915,2.1034774466564783,2.147631555105511,3.5917042158361054,13230,70,1208230,503,1102,206,5621,206,21,1644,14
DNK,Denmark,SP,Schleswig Party,Slesvigsk Parti,Slesvigsk Parti,eth,Ethnic,,,,,,,,,,,,,21,812,17
DNK,Denmark,Sbf,Union Party (Faroe Islands),Sambandsflokkurin,Sambandsflokkurin,reg,Regional,,,,,,,,,,,,,21,1892,9
DNK,Denmark,Sd,Social Democrats,Socialdemokraterne,Socialdemokraterne,soc,Social democracy,3.801076511342158,3.5292481413640484,4.272236867201955,7.4311277968423415,13320,64,1208320,504,1103,201,5603,201,21,1629,11
DNK,Denmark,Si,Forward (Greenland),Siumut,Siumut,reg,Regional,,,,,,,,,,,,,21,74,9
DNK,Denmark,V,Liberal Party of Denmark,Venstre,Venstre,lib,Liberal,7.291960685294969,7.369624114287527,4.995657890972339,9.026842105263158,13420,65,1208420,508,1108,212,5639,211,21,1605,6
DNK,Denmark,VS,Left Socialists,Venstresocialisterne,Venstresocialisterne,com,Communist/Socialist,0.8,,,0.7333333333333333,13210,,,501,,215,,,21,189,14
DNK,Denmark,etc,others,øvrige,ovrige,none,no family,,,,,,,,,,,,,21,1453,12
DNK,Denmark,no-seat,no seats,no seats,no seats,none,no family,,,,,,,,,,,,,21,2058,12
DNK,Denmark,none,no party affiliation,ingen,ingen,none,no family,,,,,,,,,,,,,21,1128,12
ESP,Spain,A,Amaiur,Amaiur,Amaiur,spec,Special issue,,,,,,,,,,,,,27,1975,16
ESP,Spain,AIC,Canary Islands Group,Agrupacion Independientes de Canarias,Agrupacion Independientes de Canarias,reg,Regional,,,,,,,,,,,,,27,411,9
ESP,Spain,ARM,Ruiz-Mateos List,Agrupación Ruiz-Mateos,Agrupación Ruiz-Mateos,spec,Special issue,,,,,,,,,,,,,27,73,16
ESP,Spain,BNG,Galician Nationalist Block,Bloque Nacionalista Galego,Bloque Nacionalista Galego,reg,Regional,2.9116666666666666,2.81,2.9377777512868235,6.609595839182534,33908,356,1724908,,,514,,513,27,520,9
ESP,Spain,CA,Aragonese Council,Chunta Aragonesista,Chunta Aragonesista,reg,Regional,2.75,2.38,1.88,6.666666666666667,,,,,,,,520,27,1367,9
ESP,Spain,CC,Canary Coalition,Coalición Canaria,Coalicion Canaria,reg,Regional,5.978888835906983,5.899999968210857,5.76944449742635,8.027777777777779,33907,392,1724907,,,,,517,27,234,9
ESP,Spain,CDS,Democratic and Social Centre,Centró Democrático y Social,Centro Democratico y Social,chr,Christian democracy,,,,9.716666666666667,33512,,,,,503,,,27,637,3
ESP,Spain,CEP,For the Europe of the Peoples,Coalición por la Europa de los Pueblos,Coalicion por la Europa de los Pueblos,all,electoral alliance,,,,,,,,,,,,,27,771,27
ESP,Spain,CLV,Confederation of The Greens,Confederación de Los Verdes,Confederacion de Los Verdes,eco,Green/Ecologist,2.88888883590698,2.375,1.88888883590698,7.8125,,,,,,515,,514,27,130,19
ESP,Spain,CN,Nationalist Coalition,Coalición Nacionalista,Coalicion Nacionalista,reg,Regional,,,,,,,,,,,,,27,679,9
ESP,Spain,CiU,Convergence and Unity,Convergència i Unió,Convergencia i Unio,con,Conservative,6.256403278700328,6.399839248908197,6.110396521718881,8.730935712111627,33611,357,1724007,1408,3607,505,7740,505,27,894,26
ESP,Spain,EA,Basque Solidarity,Eusko Alkartasuna,Eusko Alkartasuna,reg,Regional,4.311527817514207,4.787272669474283,4.555,7.484090836842855,33903,,1724903,,3604,507,,507,27,845,9
ESP,Spain,EDC,Electoral Coalition of Christian Democratic Team,Coalición Electoral Equipo de la Democracia Cristiana,Coalición Electoral Equipo de la Democracia Cristiana,all,electoral alliance,,,,,,,,,,,,,27,2084,27
ESP,Spain,EE,Basque Left,Euzkadiko Ezkerra,Euzkadiko Ezkerra,reg,Regional,2.4,,,7.216666666666666,33901,,,1403,,509,,,27,1026,9
ESP,Spain,EP-V,Europe of the People -- The Greens,Europa de los Pueblos – Verdes,Europa de los Pueblos -- Verdes,all,electoral alliance,,,,,,,,,,,,,27,1657,27
ESP,Spain,ERC,Republican Left of Catalonia,Esquerra Republicana de Catalunya,Esquerra Republicana de Catalunya,reg,Regional,3.1072222487131764,2.907272748947145,2.7325,7.038888888888889,33905,270,1724905,1406,,511,,511,27,757,9
ESP,Spain,EU,United Extremadura,Extremadura Unida,Extremadura Unida,reg,Regional,,,,,,,,,,,,,27,1976,9
ESP,Spain,EdP,Europe of the People,Europa de los Pueblos,Europa de los Pueblos,all,electoral alliance,,,,,,,,,,,,,27,1672,27
ESP,Spain,FAC,Asturian Forum,Foro de Ciudadanos,Foro de Ciudadanos,con,Conservative,,,,,,,,,,,,,27,1978,26
ESP,Spain,G-PE,Galeusca -- Peoples of Europe,Galeusca – Pueblos de Europa,Galeusca -- Pueblos de Europa,reg,Regional,,,,,,,,,,,,,27,762,9
ESP,Spain,GBAI,Yes to the future,Geroa Bai,Geroa Bai,reg,Regional,,,,,,,,,,,,,27,1979,9
ESP,Spain,HB,United People,Herri Batasuna,Herri Batasuna,reg,Regional,0.5909090836842866,1.79999995231628,4.38888883590698,3.2500000794728585,,,,1401,3601,508,,508,27,1317,9
ESP,Spain,ICV,Initiative for Catalonia Greens,Iniciativa per Catalunya Verds,Iniciativa per Catalunya Verds,eco,Green/Ecologist,3.20833325386047,3.27272725105286,3.125,7.5,,393,,,,,,518,27,941,19
ESP,Spain,II–SP,Internationalist Initiative – Solidarity between Peoples,Iniciativa Internacionalista – La Solidaridad entre los Pueblos,Iniciativa Internacionalista -- La Solidaridad entre los Pueblos,all,electoral alliance,,,,,,,,,,,,,27,681,27
ESP,Spain,IP,Left of the Peoples,Izquierda de los Pueblos,Izquierda de los Pueblos,all,electoral alliance,,,,,,,,,,,,,27,121,27
ESP,Spain,IU/PCE,United Left / Communist Party,Izquierda Unida / Partido Communista,Izquierda Unida / Partido Communista,com,Communist/Socialist,2.0182540847822934,1.8937027091729022,1.7350981236758996,5.218560655995425,33220,273,1724220,1404,3602,504,7760,504,27,118,14
ESP,Spain,NaBai,Navarre Yes,Nafarroa Bai,Nafarroa Bai,reg,Regional,,,,,,,1724923,,,,,,27,385,9
ESP,Spain,PA,Andalusian Party,Partidu Andalucista,Partidu Andalucista,reg,Regional,4.85,4.86,4.43,8.725000000000001,33906,,,1407,,517,,516,27,370,9
ESP,Spain,PAR,Aragonese Regionalist Party,Partido Aragonés Regionalista,Partido Aragones Regionalista,reg,Regional,7.1909090042114245,6.27272748947144,5.95833349227905,8.749999920527141,33904,,,1411,,510,,510,27,1221,9
ESP,Spain,PDP,Popular Democratic Party,Partido Demócrata Popular,Partido Democrata Popular,lib,Liberal,5.9944444444444445,,,,33438,,,1410,3605,,,,27,1224,6
ESP,Spain,PL,Liberal Party,Partido Liberal,Partido Liberal,lib,Liberal,,,,,33439,,,,,,,,27,424,6
ESP,Spain,PNV,Basque National Party,Partido Nacionalista Vasco – Euzko Alderdi Jeltzalea,Partido Nacionalista Vasco -- Euzko Alderdi Jeltzalea,reg,Regional,6.214395711500975,5.746833110859521,6.513888861003671,7.855638257746112,33902,358,1724902,1409,3606,506,7780,506,27,1361,9
ESP,Spain,PP,Popular Party,Partido Popular,Partido Popular,con,Conservative,7.596891528421441,7.618999228226513,7.812705328840961,7.736849362222773,33610,274,1724610,1412,3608,502,7800,502,27,645,26
ESP,Spain,PSC-PSOE,Socialists' Party of Catalonia,Partit dels Socialistes de Catalunya,Partit dels Socialistes de Catalunya,soc,Social democracy,,,,,,,,,,,,,27,1974,11
ESP,Spain,PSOE,Spanish Socialist Workers Party,Partido Socialista Obrero Español,Partido Socialista Obrero Espanol,soc,Social democracy,3.7377370136104826,4.00975874976108,3.039928489107835,9.129022483491065,33320,275,1724320,1405,3603,501,7820,501,27,902,11
ESP,Spain,PSP,People's Socialist Party,Partido Socialista Popular,Partido Socialista Popular,com,Communist/Socialist,4.20833349227905,4.22727251052856,3.70833325386047,9.166666666666666,,,,,,,,519,27,1790,14
ESP,Spain,PTE-UC,Workers' Party of Spain -- Communist Unity,Partido de los Trabajadores de España-Unidad Comunista,Partido de los Trabajadores de Espana -- Unidad Comunista,com,Communist/Socialist,,,,,,,,,,,,,27,2028,14
ESP,Spain,UC/DCC,Union of Centre and Christian Democracy of Catalonia,Unió del Centre i la Democràcia Cristiana de Catalunya,Unio del Centre i la Democracia Cristiana de Catalunya,all,electoral alliance,,,,,,,,,,,,,27,62,27
ESP,Spain,UCD,Union of the Democratic Centre,Unión de Centro Democrático,Union de Centro Democratico,lib,Liberal,7.1,,,,33430,,,1410,,,,,27,135,6
ESP,Spain,UN,National Union,Unión Nacional,Union National,all,electoral alliance,9.8,,,,,,,1413,,,,,27,1407,27
ESP,Spain,UPC,Canary Peoples Union,Union del Pueblo Canario,Union del Pueblo Canario,reg,Regional,0.7,,,,,,,1402,,,,,27,227,9
ESP,Spain,UPN,Navarrese Peoples Union,Union del Pueblo Navarro,Union del Pueblo Navarro,reg,Regional,,,,,,,1724922,,,,,,27,1630,9
ESP,Spain,UPyD,"Union, Progress and Democracy",Unión Progreso y Democracia,Union Progreso y Democracia,lib,Liberal,,,,,,276,1724010,,,,,,27,551,6
ESP,Spain,UV,Valencian Union,Union Valenciana,Union Valenciana,reg,Regional,6.04166650772095,5.72727251052856,5.875,8.876851940155031,,,,,,512,,512,27,443,9
ESP,Spain,etc,others,others,others,none,no family,,,,,,,,,,,,,27,1377,12
ESP,Spain,no-seat,no seats,no seats,no seats,none,no family,,,,,,,,,,,,,27,2056,12
ESP,Spain,none,no party affiliation,no party affiliation,no party affiliation,none,no family,,,,,,,,,,,,,27,1166,12
ESP,Spain,todo,to be coded,to be coded,to be coded,none,no family,,,,,,,,,,,,,27,490,12
EST,Estonia,EEE,Estonian Entrepreneur Party,Eesti Ettevõtjate Erakond,Eesti Ettevotjate Erakond,lib,Liberal,8.333333333333334,,,,,,,,1211,,,,75,1516,6
EST,Estonia,EER,Estonian Greens,Erakonna Eestimaa Rohelised,Erakonna Eestimaa Rohelised,eco,Green/Ecologist,5.555555555555555,,,,,79,1233100,,1206,,,,75,219,19
EST,Estonia,EK,Centre Party of Estonia,Eesti Keskerakond,Eesti Keskerakond,soc,Social democracy,3.9562238213611622,3.6421052631578945,4.994736842105263,5.011842105263158,83411,75,1233411,,1204,,1716,2202,75,1137,11
EST,Estonia,EKD,Estonian Christian Democrats,Eesti Kristlikud Demokraadid,Eesti Kristlikud Demokraadid,chr,Christian democracy,7.5789471676475255,4.7368421052631575,9.789473884984053,1.0526315789473684,,76,,,,,1612,,75,609,3
EST,Estonia,EKK,Estonian Coalition Party,Eesti Koonderakond,Eesti Koonderakond,lib,Liberal,,,,,83713,,,,,,,,75,1519,6
EST,Estonia,EKo,Estonian Citizens,Eesti Kodanik,Eesti Kodanik,code,to be coded,,,,,83712,,,,,,,,75,1064,28
EST,Estonia,EME,Estonian Country People's Party,Eesti Maarahva Erakond,Eesti Maarahva Erakond,spec,Special issue,8.88888888888889,,,,83810,,,,1214,,,,75,924,16
EST,Estonia,EMK,Estonian Rural Centre Party,Eesti Maa-Keskerakond,Eesti Maa-Keskerakond,agr,Agrarian,5.555555555555555,,,,,,,,1207,,,,75,1257,2
EST,Estonia,EPL,Estonian Pensioners' Union,Eesti Pensionaride Liit,Eesti Pensionaride Liit,spec,Special issue,,,,,,,,,,,,,75,1792,16
EST,Estonia,ERSP,Estonian National Independence Party,Eesti Rahvusliku Sõltumatuse Partei,Eesti Rahvusliku Soltumatuse Partei,con,Conservative,7.777777777777778,,,,83711,,,,1210,,,,75,552,26
EST,Estonia,ERa,People's Union of Estonia,Eestimaa Rahvalliit,Eestimaa Rahvalliit,agr,Agrarian,4.581203079223632,4.850877109326816,6.947368421052632,6.062719298245614,83612,78,1233612,,,,1768,2206,75,417,2
EST,Estonia,ERe,Estonian Reform Party,Eesti Reformierakond,Eesti Reformierakond,lib,Liberal,7.896909082423871,8.624561570820052,5.273684110139552,8.571491428843728,83430,82,1233430,,1208,,1794,2203,75,113,6
EST,Estonia,ESDP,Estonian Social Democratic Party,Eesti Sotsiaaldemokraatlik Partei,Eesti Sotsiaaldemokraatlik Partei,soc,Social democracy,,,,,83320,,,,,,,,75,1164,11
EST,Estonia,ESDTP,Estonian Social Democratic Labour Party,Eesti Sotsiaaldemokraatlik Tööpartei,Eesti Sotsiaaldemokraatlik Tööpartei,com,Communist/Socialist,1.345029239766082,2.543859732778447,6.491227902864158,1.5789473684210527,,,,,1202,,1638,,75,1653,14
EST,Estonia,ETRE,Estonian Farmers’ Party,Eesti Talurahva Erakond,Eesti Talurahva Erakond,agr,Agrarian,,,,,,,,,,,,,75,1796,2
EST,Estonia,I,Pro Patria Union,Isamaaliit,Isamaaliit,con,Conservative,7.616875593843515,6.414035004063658,7.378947468807816,8.518859649122806,83710,,,,1212,,1690,2201,75,846,26
EST,Estonia,IRL,Union of Pro Patria and Res Publica,Erakond Isamaa ja Res Publica Liit,Erakond Isamaa ja Res Publica Liit,con,Conservative,8.496240314684423,8.245613700465158,6.105263358668263,9.263158095510368,,80,1233613,,,,1820,,75,1597,26
EST,Estonia,K-EUR,Constitution Party -- Estonian United People's Party,Konstitutsioonierakond – Eestimaa Ühendatud Rahvapartei,Konstitutsioonierakond -- Eestimaa Uehendatud Rahvapartei,spec,Special issue,2.0281954648201928,2.941315789473684,6.315789473684211,4.924122723361903,83952,,,,1201,,1664,2205,75,1590,16
EST,Estonia,KK,Secure Home,Kindel Kodu,Kindel Kodu,lib,Liberal,7.222222222222222,,,,83220,,,,1209,,,,75,779,6
EST,Estonia,KMU,Coalition Party and Rural Union,Koonderakond ja Maarahva Ühendus,Koonderakond ja Maarahva Ühendus,code,to be coded,7.222222222222222,,,,83719,,,,1209,,,,75,486,28
EST,Estonia,MKE,Our Home is Estonia!,Meie Kodu on Eestimaa!,Meie Kodu on Eestimaa!,spec,Special issue,,,,,83951,,,,,,,,75,149,16
EST,Estonia,OIG,Justice,Oiglus,Õiglus,soc,Social democracy,,,,,,,,,,,,,75,1795,11
EST,Estonia,P,Right-wingers,Parempoolsed,Parempoolsed,con,Conservative,,,,,83610,,,,,,,,75,1395,26
EST,Estonia,PK,Union of Farmers,Põllumeeste Kogu,Põllumeeste Kogu,code,to be coded,2.2222222222222223,,,,,,,,1203,,,,75,1553,28
EST,Estonia,R,Popular Front,Rahvarinne,Rahvarinne,soc,Social democracy,3.3333333333333335,,,,83421,,,,1204,,,,75,450,11
EST,Estonia,RKI,"National Coalition Party ""Pro Patria""","Rahvuslik Koonderakond ""Isamaa""","Rahvuslik Koonderakond ""Isamaa""",con,Conservative,,,,,83710,,,,,,,,75,243,26
EST,Estonia,RKI/ERSP,"National Coalition Party ""Pro Patria"" / ERSP","Rahvuslik Koonderakond ""Isamaa"" / Eesti Rahvusliku Sõltumatuse Partei","Rahvuslik Koonderakond ""Isamaa"" / Eesti Rahvusliku Sõltumatuse Partei",con,Conservative,,,,,83709,,,,,,,,75,1314,26
EST,Estonia,ResP,Res Publica Party,Res Publica,Res Publica,con,Conservative,8.496240314684423,8.245613700465158,6.105263358668263,9.263158095510368,83611,,,,,,1820,,75,428,26
EST,Estonia,SDE-M,Social Democratic Party -- Moderates,Sotsiaaldemokraatlik Erakond – Mõõdukad,Sotsiaaldemokraatlik Erakond  -- Moodukad,soc,Social democracy,4.191534463239228,3.466666708494487,3.1736841854296234,7.798245714421851,83410,83,1233410,,1205,,1742,2204,75,1448,11
EST,Estonia,SK,Independent Royalists,Sõltumatud Kuningriiklased,Soltumatud Kuningriiklased,reg,Regional,,,,,83901,,,,,,,,75,25,9
EST,Estonia,TEE,Future’s Estonia Party,Tuleviku Eesti Erakond,Tuleviku Eesti Erakond,,,,,,,,,,,,,,,75,1794,
EST,Estonia,V,Left Alternative,Vasakvoimalus,Vasakvoimalus,com,Communist/Socialist,,,,,,,,,,,,,75,1793,14
EST,Estonia,etc,others,others,others,none,no family,,,,,,,,,,,,,75,1195,12
EST,Estonia,none,no party affiliation,no party affiliation,no party affiliation,none,no family,,,,,,,,,,,,,75,426,12
EST,Estonia,none,Indrek Tarand,Indrek Tarand,Indrek Tarand,none,no family,,,,,,,,,,,,,75,2029,12
EST,Estonia,none,Martin Helme,Martin Helme,Martin Helme,none,no family,,,,,,,,,,,,,75,2030,12
EST,Estonia,none,Dimitri Klenski,Dimitri Klenski,Dimitri Klenski,none,no family,,,,,,,,,,,,,75,2031,12
EST,Estonia,todo,to be coded,to be coded,to be coded,none,no family,,,,,,,,,,,,,75,1439,12
FIN,Finland,AS,Aland Coalition,Åländsk Samlingin ääntä – Åländsk Samling,Alandsk Samlingin aanta -- Alandsk Samling,reg,Regional,,,,,,,,,,,,,67,66,9
FIN,Finland,Deva,Democratic Alternative,Demokraattinen Vaihtoehto – Demokratiskt Alternativs,Demokraattinen Vaihtoehto -- Demokratiskt Alternativs,com,Communist/Socialist,,,,0.5500000000000002,14222,,,,,1407,,,67,229,14
FIN,Finland,EKA,Pensioners for the People,Eläkeläiset Kansan Asialla – Pensionärer för Folket,Elakelaiset Kansan Asialla -- Pensionarer for Folket,spec,Special issue,6.33333349227905,5.66666650772095,7.75,2.916666666666667,,,,,,1411,,1411,67,1184,16
FIN,Finland,Eko,Ecological Party,Ekologinen puolue – Ekologiska partiet,Ekologinen puolue -- Ekologiska partiet,eco,Green/Ecologist,4.75,4.5,3.75,2.5,,,,,,,,1413,67,1105,19
FIN,Finland,IK,Popular Movement,Isänmaallinen Kansanliike – Fosterländska Folkrörelsen Patriotic,Isanmaallinen Kansanliike – Fosterlandska Folkrorelsen Patriotic,con,Conservative,,,,,,,,,,,,,67,957,26
FIN,Finland,KD,Finnish Christian Union,Suomen Kristillisdemokraatit – Kristdemokraterna i Finland,Suomen Kristillisdemokraatit -- Kristdemokraterna i Finland,chr,Christian democracy,7.188413938853245,4.94383576267644,8.307599710414287,3.210255194212264,14520,92,1246520,607,1309,1409,5657,1409,67,1463,3
FIN,Finland,KESK,Centre Party,Keskusta,Keskusta,agr,Agrarian,5.802690042584961,4.93494015819148,7.220271157967419,5.526746420609326,14810,90,1246810,603,1306,1403,5677,1403,67,94,2
FIN,Finland,KOK,National Coalition Party,Kansallinen Kokoomus – Samlingspartiet,Kansallinen Kokoomus -- Samlingspartiet,con,Conservative,7.245056727020831,7.640773503654877,5.5872408151626605,9.084625210009127,14620,86,1246620,608,1308,1402,5697,1402,67,1118,26
FIN,Finland,KOK/IK,National Coalition Party / Patriotic Popular Movement,Kansallinen Kokoomus / Isänmaallinen Kansanliike,Kansallinen Kokoomus / Isanmaallinen Kansanliike,all,electoral alliance,,,,,,,,,,,,,67,1096,27
FIN,Finland,L,Liberals,Liberaalit – Liberalerna,Liberaalit -- Liberalerna,lib,Liberal,5.716666666666667,,,9.049999999999999,14420,,,604,1304,1410,,,67,1219,6
FIN,Finland,NSP,Young Finns,Nuorsuomalaiset – Ungfinnarna,Nuorsuomalaiset -- Ungfinnarna,lib,Liberal,,,,,14430,,,,,1412,,,67,1009,6
FIN,Finland,Np,Womens’ Movement,Naisten puolue – Kvinnopartiet,Naisten puolue -- Kvinnopartiet,spec,Special issue,,,,,,,,,,1413,,,67,204,16
FIN,Finland,POP,Constitutional People's Party,Perustuslaillinen Oikeistopuolue – Konstitutionella högerpartiet,Perustuslaillinen Oikeistopuolue -- Konstitutionella hogerpartiet,con,Conservative,,,,,,,,,,,,,67,1389,26
FIN,Finland,RKP-SFP,Swedish People's Party,Ruotsalainen Kansanpuolue – Svenska Folkepartiet i Finland,Ruotsalainen Kansanpuolue -- Svenska Folkepartiet i Finland,reg,Regional,6.390567078636866,6.729485657340605,3.838519713000248,8.528357328113756,14901,96,1246901,606,1305,1406,5757,1406,67,585,9
FIN,Finland,Rt,Reform Group,Remonttiryhmä,Remonttiryhma,spec,Special issue,6.59999990463257,5.80000019073486,6.80000019073486,5,,,,,,,,1412,67,638,16
FIN,Finland,SEP,Finnish Pensioners’ Party,Suomen Eläkeläisten Puolue– Finlands Pensionärers Parti,Suomen Elakelaisten Puolue -- Finlands Pensionärers Parti,spec,Special issue,,,,,,,,,,,,,67,1576,16
FIN,Finland,SKDL,Finish People's Democratic Union,Suomen Kansan Demokraattinen Liitto – Demokratiska Förbundet för Finlands Folk,Suomen Kansan Demokraattinen Liitto -- Demokratiska Förbundet för Finlands Folk,com,Communist/Socialist,2.1275,1.9033333174387599,3.6566666507720935,5.391666666666667,14221,,,601,,1404,,1404,67,1292,14
FIN,Finland,SKP,Communist  Party of Finland,Suomen Kommunistinen Puolue – Finlands Kommunistiska Partiet,Suomen Kommunistinen Puolue -- Finlands Kommunistiska Partiet,com,Communist/Socialist,,,,,,,,,,,,,67,372,14
FIN,Finland,SKP-Y,Communist  Party of Finland (Yhtenäisyys),Suomen Kommunistinen Puolue  (Yhtenäisyys) – Finlands Kommunistiska Partiet (Enhet),Suomen Kommunistinen Puolue (Yhtenäisyys) -- Finlands Kommunistiska Partiet (Enhet),com,Communist/Socialist,,,,,,91,,,,,,,67,806,14
FIN,Finland,SKYP,Finnish People's Unity Party,Suomen kansan yhtenäisyyden puolueen – Finlands folks enhetsparti,Suomen kansan yhtenaisyyden puolueen -- Finlands folks enhetsparti,con,Conservative,,,,,,,,,,,,,67,139,26
FIN,Finland,SP-P,Finnish Party -- True Finns,Suomen Puolue – Perussuomalaiset,Suomen Puolue -- Perussuomalaiset,agr,Agrarian,6.633070213585569,4.874502978073923,7.998958707441357,1.0945476966991798,14820,89,1246820,605,1307,1405,5717,1405,67,200,2
FIN,Finland,SPP,Finnish Small Farmers' Party,Suomen Pienviljelijäin Puolue – Finska Småbrukarpartiet,Suomen Pienviljelijain Puolue -- Finska Smabrukarpartiet,agr,Agrarian,,,,,,,,,,,,,67,920,2
FIN,Finland,SSDP,Social Democratic Party of Finland,Suomen Sosialidemokraattinen Puolue – Finlands Socialdemokratiska Parti,Suomen Sosialidemokraattinen Puolue -- Finlands Socialdemokratiska Parti,soc,Social democracy,3.5595170837722088,3.5453867367694247,4.241718463646738,8.621036635616365,14320,94,1246320,602,1303,1401,5737,1401,67,395,11
FIN,Finland,SV,Swedish Left,Ruotsalainen vasemmisto – Svensk vänster,Ruotsalainen vasemmisto -- Svensk vanster,com,Communist/Socialist,,,,,,,,,,,,,67,1565,14
FIN,Finland,TPSL,Social Democratic League of Workers and Smallholders,Tyäväen ja Pienviljelijäin Sosialdemokraattinen Liitto – Arbetarnas och Småbrukarnas Socialdemokratiska Förbund,Tyavaen ja Pienviljelijain Sosialdemokraattinen Liitto -- Arbetarnas och Smabrukarnas Socialdemokratiska Forbund,soc,Social democracy,,,,,14310,,,,,,,,67,1108,11
FIN,Finland,VAS,Left Alliance,Vasemmistoliitto – Vänsterförbundet,Vasemmistoliitto -- Vansterforbundet,com,Communist/Socialist,2.2611919237549545,1.8660965002210501,3.34058610677719,5.622926623361149,14223,97,1246223,,1301,,5777,1404,67,1427,14
FIN,Finland,VASE,The Left Group,Vasenryhmä,Vasenryhmae,soc,Social democracy,,,,,,,,,,,,,67,1971,11
FIN,Finland,VEU,Anti-EU Movement,Vaihtoehto EU:Lle,Vaihtoehto EU:Lle,spec,Special issue,,,,,,,,,,,,,67,1649,16
FIN,Finland,VIHR,Green League,Vihreä Liitto – Gröna Förbundet,Vihrea Liitto -- Grona Forbundet,eco,Green/Ecologist,3.6464720782564384,3.4279226203968634,2.267145107921802,6.97094091917339,14110,98,1246110,,1302,1408,5797,1408,67,1062,19
