"","elect.uid","country","year","election_date","n.parties","p.crash.tm1","p.crash.tp1","s.crash.tm1","s.crash.tp1","c.location.mean.tm1","c.location.max.tm1","c.location.min.tm1","c.location.mean.tp1","c.location.max.tp1","c.location.min.tp1","share.v.crash.tm1","share.v.crash.tp1","np.vote","NP.d","S.NP.d","NP.n","S.NP.n","np.location.min","np.location.max","np.location.mean","uid"
"53",53,"Austria","1975","1975-10-05",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Austria1975"
"54",54,"Austria","1979","1979-05-06",4,0,1,0,0,0,0,0,4.5,4.5,4.5,0,1,0,0,0,0,0,0,0,0,"Austria1979"
"55",55,"Austria","1983","1983-04-24",5,0,1,0,0,0,0,0,0,0,0,0,3.4,3.4,1,0,2,0,0,0,0,"Austria1983"
"56",56,"Austria","1986","1986-11-23",5,0,1,0,0,0,0,0,4.5,4.5,4.5,0,0.7,0,0,0,0,0,0,0,0,"Austria1986"
"57",57,"Austria","1990","1990-10-07",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Austria1990"
"58",58,"Austria","1994","1994-10-09",6,0,0,0,0,0,0,0,0,0,0,0,0,6.9,1,1,2,1,0.119444468286302,0.119444468286302,0.119444468286302,"Austria1994"
"59",59,"Austria","1995","1995-12-17",6,0,1,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,"Austria1995"
"60",60,"Austria","1999","1999-10-03",6,0,1,0,0.212327941324224,0,0,0,1.73440547795788,3.34936648762947,0.119444468286302,0,31.6,1,1,0,1,0,0,0,0,"Austria1999"
"61",61,"Austria","2002","2002-11-24",5,1,1,0.318491911986336,0,1.73440547795788,3.34936648762947,0.119444468286302,0.119444468286302,0.119444468286302,0.119444468286302,30.6,0.98,0,0,0,0,0,0,0,0,"Austria2002"
"62",62,"Austria","2006","2006-10-01",7,0,1,0,0,0,0,0,2.65,4.5,0.8,0,3.8,6.9,1,1,2,1,0.8,3.83,2.315,"Austria2006"
"63",63,"Austria","2008","2008-09-28",7,0,-Inf,0,0,0,0,0,0,0,0,0,0,1.76,1,0,1,0,0,0,0,"Austria2008"
"64",64,"Belgium","1946","1946-02-17",6,0,1,0,0,0,0,0,0,0,0,0,3.76,NA,NA,NA,NA,NA,2.5,3.6,3.05,"Belgium1946"
"65",65,"Belgium","1949","1949-06-26",5,0,1,0,0,0,0,0,1.5321491599873,1.5321491599873,1.5321491599873,0,2.1,2.1,1,0,1,0,1.5321491599873,1.5321491599873,1.5321491599873,"Belgium1949"
"66",66,"Belgium","1950","1950-06-04",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Belgium1950"
"67",67,"Belgium","1954","1954-04-11",7,0,1,0,0,0,0,0,0,0,0,0,0.8,0.8,1,1,1,1,0,0,0,"Belgium1954"
"68",68,"Belgium","1958","1958-06-01",6,0,1,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,"Belgium1958"
"69",69,"Belgium","1961","1961-03-26",7,0,1,0,0,0,0,0,0,0,0,0,1.69,0.88,1,1,1,1,0,0,0,"Belgium1961"
"70",70,"Belgium","1965","1965-05-23",8,0,1,0,0,0,0,0,0,0,0,0,34.45,2.23,1,1,3,3,1.12592594358656,1.12592594358656,1.12592594358656,"Belgium1965"
"71",71,"Belgium","1968","1968-03-31",8,0,1,0,0,0,0,0,0,0,0,0,20.9,31.7,1,1,2,2,0.497417138194483,0.766711852945543,0.632064495570013,"Belgium1968"
"72",72,"Belgium","1971","1971-11-07",10,0,1,0,0.230769230769231,0,0,0,0,0,0,0,1.3,16.44,1,1,3,3,1.85511107932197,2.00527486439755,1.93019297185976,"Belgium1971"
"73",73,"Belgium","1974","1974-03-10",10,1,1,0.230769230769231,0,0,0,0,0,0,0,1.3,0.3,0,0,0,0,0,0,0,0,"Belgium1974"
"74",74,"Belgium","1977","1977-04-17",9,0,1,0,0,0,0,0,2.5,2.5,2.5,0,27,0,0,0,0,0,0,0,0,"Belgium1977"
"75",75,"Belgium","1978","1978-12-17",12,0,0,0,0,0,0,0,0,0,0,0,0,27.7,1,1,4,4,1.75410068033267,4.66216060116417,3.17140206071461,"Belgium1978"
