id;elmonth;nr_ele;cntry;country;year;mixed;yearsdem;pub_fin_new;fsu;gdp_grow;dismag;dismag2;threshold;enp;turnout;turn_chan;np5;np3;vote_new;vanhanen;deposit;petition;unemp;nongov;against;president;yearsdem2;ln_yearsdem;inflation_index;inflation;Federal;Corruption_cpi;Corruption_wb;Inelastic_vote;System_polarization;polarization;System_polarization_new;Available_issues_new;Available_issues_full;Available_issues;Organizational_strength;Source notes;gap;Signatures needed;population
55;10;2;12;Macedonia;1994;0;3;0;0;-1,800344861;10,89999962;1,00;0;6,624183569;57,83061398;;;;;64;0;0,676589986;;2;0;4;9;1,098612309;61,659;126,40000;0,00;;;;-1,594141826;40,6778430;61,437170470;0,2321428571;0,4636363636;0,2452830189;;;;;
56;10;3;12;Macedonia;1998;1;7;0;0;3,380837441;10,89999962;1,00;5;5,088514713;50,45684104;-7,37377294;2;3;11,56762528;64;0;0,616522811;34,481;0;0;4;49;1,94591;75,594;0,86900;0,00;;-0,96;;0,624092109;61,4371705;8,418423638;0,3214285714;0,5818181818;0,3018867925;;;;;
57;9;4;12;Macedonia;2002;0;11;0;0;0,853288331;10,89999962;20;5;4,128785064;74,60236964;24,1455286;5;6;17,41201301;64;0;0,687285223;31,944;1;0;4;121;2,397895336;86,425;2,17700;0,00;;-0,66;;;8,4184236;;0,1964285714;0,5000000000;0,1698113208;;elmonth, nr_ele, year, mixed, yearsdem, threshold: Nohlen ;;;
58;7;5;12;Macedonia;2006;0;15;0;0;4,995700205;20;20;5;5,314908318;55,98159923;-18,62077041;8;11;20,53461086;64;0;0,661375661;36,025;0;0;4;225;2,70805;90,318;3,20700;0,00;2,70;-0,45;;;31,6512935;;;;;;;;;
59;6;6;12;Macedonia;2008;0;17;0;0;4,999901078;20;20;5;3,150965929;57,9856513;2,00405207;1;5;2,357772259;64;0;0,650195059;33,775;1;0;4;289;2,833213;100,074;8,35600;0,00;3,30;-0,32;;;;;;;;;;;;
60;6;7;12;Macedonia;2011;0;20;0;0;2,861430752;20;20;5;3,642682034;63,48004143;5,49439013;1;2;1,915015515;64;0;0,599880024;31,375;1;0;4;400;2,995732;104,689;3,90200;0,00;4,10;-0,05;;;;;;;;;;;;
61;2;1;13;Moldova;1994;0;0;1;1;-15,94999981;101;104,00;4;3,954999924;79,30999756;-4,690000057;;;;37;1;2,056766987;1;1;0;5;0;;3.817,33;329,63600;0,00;;;;0,059420922;;31,98053791;;;;;;;;
62;3;2;13;Moldova;1998;0;4;1;1;-1,200000048;101;104,00;4;5,684049129;69,12000275;-10,18999958;8;8;55,54999924;37;1;2,056766987;11,10000038;6;0;5;16;1,386294365;7.390,00;7,69600;0,00;;-0,20;;-0,804571582;31,9805379;4,446584905;0,3214285714;0,4363636364;0,3207547170;;;;;
63;2;3;13;Moldova;2001;0;7;1;1;-3,369999886;101;101;6;3,516294956;67,51999664;-1,600000024;7;7;3,519999981;37;1;2,101722956;11,10000038;11;0;2;49;1,945910096;14.804,83;9,64100;0,00;2,60;-0,54;;0,123003451;4,4465849;3,455536616;0,2321428571;0,4181818182;0,2452830189;;;;;
64;3;4;13;Moldova;2005;0;11;1;1;5,699999809;101;101;6;3,2825307;64,83999634;-2,839999914;0;0;0;37;0;2,101722956;8;6;0;2;121;2,397895336;21.873,90;11,85100;0,00;2,30;-0,99;;-1,114676243;3,4555366;43,846953720;0,2857142857;0,4454545455;0,2641509434;;;;;
65;7;6;13;Moldova;2009;0;15;0;1;-5,992309336;101;101;4;3,671112384;;;2;2;13,44061852;37;0;1,456452083;6,4;1;0;2;225;2,70805;31.227,59;0,00600;0,00;2,90;-0,57;;0,142334159;43,8469537;158,112442800;0,3928571429;0,5727272727;0,3584905660;;elmonth, year, election, years since independence: Parline;;;
66;11;7;13;Moldova;2010;0;16;0;1;7,090103397;101;101;4;3,738946739;63,37261856;4,60108679;1;1;0,900271174;37;0;1,448855404;7,4;0;0;2;256;2,772589;33.525,17;7,35800;0,00;3,30;-0,67;;1,263457852;158,1124428;51,418847640;0,2857142857;0,4818181818;0,2641509434;;elmonth, year, election, years since independence: Parline;;;
