"","country","year","ccode","ccode2","legislative_type","elecrule","tier1_avemag","enep1","enpp1","uid"
"148","Bangladesh",2008,771,771,1,1,1,2.8,1.65,"Bangladesh2008"
"149","Bolivia",1979,145,145,2,9,13,3.5,3.3,"Bolivia1979"
"150","Bolivia",1980,145,145,2,9,14.44,4.35,4.13,"Bolivia1980"
"151","Bolivia",1985,145,145,2,9,14.44,4.59,4.31,"Bolivia1985"
"152","Bolivia",1989,145,145,2,9,14.44,5.01,3.92,"Bolivia1989"
"153","Bolivia",1993,145,145,2,9,14.44,4.67,3.74,"Bolivia1993"
"154","Bolivia",1997,145,145,3,11,1,5.92,5.36,"Bolivia1997"
"155","Bolivia",2002,145,145,3,11,1,5.77,4.96,"Bolivia2002"
"156","Bolivia",2005,145,145,3,11,1,2.62,2.36,"Bolivia2005"
"157","Bolivia",2009,145,145,3,11,1,2.06,1.85,"Bolivia2009"
"158","Brazil",1947,140,140,2,9,13,3.59,-99,"Brazil1947"
"159","Brazil",1950,140,140,2,9,12.16,7.11,4.11,"Brazil1950"
"160","Brazil",1954,140,140,2,9,13.04,8.69,4.59,"Brazil1954"
"161","Brazil",1958,140,140,2,9,13.04,9.82,4.49,"Brazil1958"
"162","Brazil",1962,140,140,2,9,16.36,11.17,4.56,"Brazil1962"
"163","Brazil",1982,140,140,2,9,19.16,2.65,2.39,"Brazil1982"
"164","Brazil",1986,140,140,2,9,18.73,3.56,2.83,"Brazil1986"
"165","Brazil",1990,140,140,2,9,18.59,9.79,8.69,"Brazil1990"
"166","Brazil",1994,140,140,2,9,19,8.53,8.16,"Brazil1994"
"167","Brazil",1998,140,140,2,9,19,8.14,7.11,"Brazil1998"
"168","Brazil",2002,140,140,2,9,19,9.35,8.47,"Brazil2002"
"169","Brazil",2006,140,140,2,9,19,10.64,9.32,"Brazil2006"
"170","Brazil",2010,140,140,2,9,19,11.26,10.44,"Brazil2010"
"171","Burundi",1993,516,516,2,9,5.4,1.74,1.46,"Burundi1993"
"172","Burundi",2005,516,516,2,9,5.88,2.56,2.39,"Burundi2005"
"173","Bulgaria",1991,355,355,2,9,7.74,4.185,2.41,"Bulgaria1991"
"174","Bulgaria",1994,355,355,2,9,7.74,3.845,2.73,"Bulgaria1994"
"175","Bulgaria",1997,355,355,2,9,7.74,3.03,2.52,"Bulgaria1997"
"176","Bulgaria",2001,355,355,2,9,7.74,4.08,2.92,"Bulgaria2001"
"177","Bulgaria",2005,355,355,2,9,7.74,6,4.8,"Bulgaria2005"
"178","Bulgaria",2009,355,355,3,12,1,4.44,3.34,"Bulgaria2009"
"179","Canada",1949,20,20,1,1,1,2.84,1.75,"Canada1949"
"180","Canada",1953,20,20,1,1,1,2.86,2.16,"Canada1953"
"181","Canada",1957,20,20,1,1,1,2.99,2.86,"Canada1957"
"182","Canada",1958,20,20,1,1,1,2.44,1.54,"Canada1958"
"183","Canada",1962,20,20,1,1,1,3.23,2.84,"Canada1962"
"184","Canada",1963,20,20,1,1,1,3.2,2.65,"Canada1963"
"185","Canada",1965,20,20,1,1,1,3.31,2.59,"Canada1965"
"186","Canada",1968,20,20,1,1,1,2.97,2.33,"Canada1968"
"187","Canada",1972,20,20,1,1,1,3.25,2.84,"Canada1972"
"188","Canada",1974,20,20,1,1,1,2.96,2.38,"Canada1974"
"189","Canada",1979,20,20,1,1,1,3.09,2.45,"Canada1979"
"190","Canada",1980,20,20,1,1,1,2.93,2.4,"Canada1980"
"191","Canada",1984,20,20,1,1,1,2.75,1.69,"Canada1984"
"192","Canada",1988,20,20,1,1,1,3.04,2.33,"Canada1988"
"193","Canada",1993,20,20,1,1,1,3.93,2.35,"Canada1993"
"194","Canada",1997,20,20,1,1,1,4.09,2.98,"Canada1997"
"195","Canada",2000,20,20,1,1,1,3.77,2.54,"Canada2000"
"196","Canada",2004,20,20,1,1,1,3.8,3.03,"Canada2004"
"197","Canada",2006,20,20,1,1,1,3.77,3.22,"Canada2006"
"198","Canada",2008,20,20,1,1,1,3.87,3.15,"Canada2008"
"199","Canada",2011,20,20,1,1,1,3.43,2.4,"Canada2011"
"200","Cape Verde",1991,402,402,2,9,3.16,1.81,1.7,"Cape Verde1991"
"201","Cape Verde",1995,402,402,2,9,3.79,2.13,1.76,"Cape Verde1995"
"202","Cape Verde",2001,402,402,2,9,4.5,2.41,2.07,"Cape Verde2001"
"203","Cape Verde",2006,402,402,2,9,4.5,2.14,2.05,"Cape Verde2006"
"204","Cape Verde",2011,402,402,2,9,4.5,2.2,2.1,"Cape Verde2011"
