"","country","year","yrsoffc","prtyin","legelec","mdmh","tensys","liec","eiec","thresh"
"2668","Croatia",1980,NA,NA,NA,NA,NA,NA,NA,NA
"2669","Croatia",1981,NA,NA,NA,NA,NA,NA,NA,NA
"2670","Croatia",1982,NA,NA,NA,NA,NA,NA,NA,NA
"2671","Croatia",1983,NA,NA,NA,NA,NA,NA,NA,NA
"2672","Croatia",1984,NA,NA,NA,NA,NA,NA,NA,NA
"2673","Croatia",1985,NA,NA,NA,NA,NA,NA,NA,NA
"2674","Croatia",1986,NA,NA,NA,NA,NA,NA,NA,NA
"2675","Croatia",1987,NA,NA,NA,NA,NA,NA,NA,NA
"2676","Croatia",1988,NA,NA,NA,NA,NA,NA,NA,NA
"2677","Croatia",1989,NA,NA,NA,NA,NA,NA,NA,NA
"2683","Croatia",1995,3,5,1,13.1000003814697,3,7,7,5
"2688","Croatia",2000,8,10,1,13.1000003814697,8,7,7,5
"2691","Croatia",2003,3,3,1,13.1000003814697,11,7,7,5
"2695","Croatia",2007,4,4,1,12.6999998092651,15,7,7,5
"2699","Croatia",2011,8,1,1,13.3900003433228,19,7,7,5
"2705","Haiti",1979,8,16,1,NA,8,3.5,2,NA
"2710","Haiti",1984,13,21,1,NA,13,5,2,NA
"2716","Haiti",1990,1,NA,1,NA,1,1,2,NA
"2721","Haiti",1995,1,NA,1,1,1,7,7,NA
"2732","Haiti",2006,2,NA,1,1,2,6,6,NA
"2737","Haiti",2011,5,5,1,1,5,7,7,NA
"2739","Hungary",1975,20,26,1,NA,20,4,3,NA
"2744","Hungary",1980,25,31,1,NA,25,4,3,NA
"2749","Hungary",1985,30,36,1,NA,30,4,3,NA
"2754","Hungary",1990,1,41,1,1.96000003814697,1,4,3,NA
"2758","Hungary",1994,4,4,1,1.96000003814697,4,7,7,5
"2762","Hungary",1998,4,4,1,1.96000003814697,8,7,7,5
"2766","Hungary",2002,4,4,1,1.96000003814697,12,7,7,5
"2770","Hungary",2006,2,4,1,13.8199996948242,16,7,7,5
"2774","Hungary",2010,6,8,1,13.8199996948242,20,7,7,5
"2779","Indonesia",1977,10,13,1,18.5,10,7,2,0
