"","iso2c","country","year","gdp.pc.wdi","cpi.wdi","unempl.wdi","population.wdi","gdp.pc.ppp.wdi","gdp.pct.chg","gdp.pct.chg2"
"559","ES","Spain",1988,9689.53885849796,4.84047908870961,NA,38715849,NA,17.7526916543838,48.9764791855919
"560","ES","Spain",1989,10662.9242467351,6.79146837910666,NA,38791473,NA,10.0457349152737,29.5818149135828
"561","ES","Spain",1990,13773.3656978541,6.7179404579742,NA,38850435,13691.8315783669,29.1706231718883,42.1467615641432
"562","ES","Spain",1991,14782.0389005817,5.93532644924349,16.3999996185303,38939049,14474.7432308387,7.32336035254441,38.6302533763929
"563","ES","Spain",1992,16105.4187285163,5.92572364827966,18.3999996185303,39067745,14893.0387241991,8.95262038501687,16.9316133893514
"564","ES","Spain",1993,13362.0183458364,4.56863602228275,22.7999992370605,39189400,15043.2693949937,-17.0340208405909,-9.60639167773681
"565","ES","Spain",1994,13465.3778261116,4.71846762350872,24.2999992370605,39294967,15687.3004901152,0.773531944052496,-16.392252489097
"566","ES","Spain",1995,15561.9727455217,4.6747530579866,23.1000003814697,39387017,16417.6213118084,15.5702643214693,16.4642372338218
"567","ES","Spain",1996,16236.7716792911,3.5585065811347,22.5,39478186,17195.0459670127,4.33620431550742,20.5816271104202
"568","ES","Spain",1997,14872.5658906784,1.9707084918934,21.1000003814697,39582413,18166.3779333258,-8.40195215870808,-4.43007365529343
"569","ES","Spain",1998,15534.3598889091,1.8335370596733,19,39721108,19381.0397620239,4.44976343083806,-4.32605572250472
"570","ES","Spain",1999,15859.0860257836,2.31067219554782,15.8999996185303,39926268,20316.2328865735,2.09037346370699,6.63315356850102
"571","ES","Spain",2000,14787.756063671,3.43261427974647,14.1999998092651,40263216,21869.5487440266,-6.75530708623963,-4.80614476925531
"572","ES","Spain",2001,15359.1084396669,3.59110087564773,10.6999998092651,40756001,23218.8974026948,3.86368542688865,-3.1526254747836
"573","ES","Spain",2002,17019.5354136605,3.06677727084197,11.6000003814697,41431558,24659.0987041919,10.8106989446427,15.0920757712003
"574","ES","Spain",2003,21495.7074076474,3.03988488009917,11.5,42187645,25337.110818516,26.3002008291846,39.9541353073068
"575","ES","Spain",2004,24918.6458419994,3.03748621830209,11.1999998092651,42921895,26437.8540928976,15.923823158917,46.412021458581
"576","ES","Spain",2005,26510.7174533426,3.36971447933948,9.30000019073486,43653155,27868.9519489624,6.38907756640541,23.3302861384829
"577","ES","Spain",2006,28482.6094833461,3.51580473658775,8.60000038146973,44397319,30860.7158846764,7.43809379536378,14.302396943817
"578","ES","Spain",2007,32709.4010383771,2.78670353385233,8.39999961853027,45226803,32803.3751201269,14.8399027747174,23.3818024576055
"579","ES","Spain",2008,35578.736189717,4.07572182757901,11.5,45954106,33729.5167903525,8.77220328178245,24.9138924947169
"580","ES","Spain",2009,32333.4661042498,-0.287977653143535,18.1000003814697,46362946,32796.6654667603,-9.12137538602382,-1.14931769519785
"581","ES","Spain",2010,30737.8322708385,1.7997401678753,20.2000007629395,46576897,32372.8543671681,-4.93492973585525,-13.6061716556352
"582","ES","Spain",2011,31832.2380807085,3.19624297191142,21.7000007629395,46742697,32530.0931368398,3.56045214973823,-1.55018339798535
"583","ES","Spain",2012,28647.8352426892,2.44591462840482,25.2000007629395,46773055,32235.5959172997,-10.0037038864357,-6.79942882677551
"584","FI","Finland",1960,1179.35301099994,3.23485415116473,NA,4429634,NA,NA,NA
"585","FI","Finland",1961,1327.427224366,1.80522852135198,NA,4461005,NA,12.5555463025029,NA
"586","FI","Finland",1962,1411.70239818044,4.45973194160819,NA,4491443,NA,6.34876038908206,19.7014282418712
"587","FI","Finland",1963,1522.3192420995,4.86544793945056,NA,4523309,NA,7.83570560350646,14.681936166149
"588","FI","Finland",1964,1707.50393824701,10.3567754857627,NA,4548543,NA,12.1646426732486,20.9535338643493
"589","FI","Finland",1965,1882.08685764849,4.81750392466554,NA,4563732,NA,10.2244519319067,23.6328626479698
"590","FI","Finland",1966,2010.21345619725,3.93616025462521,NA,4580869,NA,6.80768786137976,17.7281885663475
"591","FI","Finland",1967,2034.18904965478,5.62885576626517,NA,4605744,NA,1.19268893478034,8.08157133599716
"592","FI","Finland",1968,1907.07727217667,9.19166666591698,NA,4626469,NA,-6.2487691347902,-5.13060857804047
"593","FI","Finland",1969,2178.03525044982,2.20560177052572,NA,4623785,NA,14.2080230427102,7.07142734936322
"594","FI","Finland",1970,2467.47634653616,2.73297491063868,NA,4606307,NA,13.2890914426919,29.3852316597466
"595","FI","Finland",1971,2718.20755188138,6.48350050897322,NA,4612124,NA,10.1614431156431,24.8008980258699
"596","FI","Finland",1972,3180.00587263802,7.13993174043336,NA,4639657,NA,16.9890750409037,28.8768533527022
"597","FI","Finland",1973,4176.27276078757,10.9860798532863,NA,4666081,NA,31.3290895693561,53.6406871468297
"598","FI","Finland",1974,5301.54277799545,16.6729252724378,NA,4690574,NA,26.9443611962662,66.7148738186914
"599","FI","Finland",1975,6260.19127850933,17.8113936271915,NA,4711440,NA,18.0824439348644,49.8990041380527
"600","FI","Finland",1976,6744.69698199575,14.342694787705,NA,4725664,NA,7.7394712386774,27.2214007211306
"601","FI","Finland",1977,7074.35652980497,12.6582883357871,NA,4738902,NA,4.88768507598207,13.0054372953522
"602","FI","Finland",1978,7634.48240766645,7.79935005413012,NA,4752528,NA,7.91769365173516,13.1923706586951
"603","FI","Finland",1979,9339.17707570089,7.46695524469909,NA,4764690,NA,22.3288833087441,32.0145095367191
"604","FI","Finland",1980,11232.274564422,11.5946198662191,NA,4779535,NA,20.2704957125897,47.125554355102
"605","FI","Finland",1981,10934.5680935815,12.0077344506092,NA,4799964,NA,-2.65045578375976,17.0827794028188
"606","FI","Finland",1982,10945.2773406605,9.56666666583298,NA,4826933,NA,0.0979393697798236,-2.55511225367085
"607","FI","Finland",1983,10505.8336621689,8.36629145138768,NA,4855787,NA,-4.01491588394124,-3.92090869747534
"608","FI","Finland",1984,10841.5671289286,7.06765861893325,NA,4881803,NA,3.19568610693565,-0.94753388611385
"609","FI","Finland",1985,11405.9336506035,5.86692887586731,NA,4902206,NA,5.20558065972767,8.56762078459157
"610","FI","Finland",1986,14962.2553603914,2.89999999999999,NA,4918154,NA,31.1795756378061,38.0082342567206
"611","FI","Finland",1987,18580.6586479255,4.08163265306123,NA,4932123,NA,24.1835418550125,62.9034432174027
"612","FI","Finland",1988,22056.7017537988,5.09648303765919,NA,4946481,NA,18.707857303333,47.415621659473
"613","FI","Finland",1989,23983.8457535829,6.63359739394422,NA,4964371,NA,8.73722654137168,29.0796317183334
"614","FI","Finland",1990,28380.548911275,6.10289523016036,NA,4986431,17906.1394804034,18.3319355989241,28.6708648829921
"615","FI","Finland",1991,25503.2152090109,4.1159534092399,6.5,5013740,17313.0364938281,-10.1384004631461,6.33497009211304
"616","FI","Finland",1992,22337.4871236912,2.6019734774684,11.6000003814697,5041992,17023.0575629767,-12.413054822206,-21.292970077767
"617","FI","Finland",1993,17617.0304386654,2.10107197549746,16.2000007629395,5066447,17216.5708852138,-21.1324427805457,-30.9223158951312
"618","FI","Finland",1994,20305.5835495475,1.08591312694959,16.3999996185303,5088333,18196.9904511362,15.2611027167288,-9.09638386310991
"619","FI","Finland",1995,26273.4659031066,0.985221674877336,15.3000001907349,5107790,19284.3184350073,29.3903513730443,49.1367458016209
"620","FI","Finland",1996,25777.6412996396,0.616615282060184,14.3999996185303,5124573,19817.9052163328,-1.88716861831455,26.9485372668053
"621","FI","Finland",1997,24676.4970769622,1.19503105590059,12.6000003814697,5139835,21572.597805293,-4.27170279032781,-6.07825717411562
"622","FI","Finland",1998,25989.407503518,1.39913088311116,11.3999996185303,5153498,23267.5123952751,5.32048946194037,0.821511174807762
"623","FI","Finland",1999,26178.7917845508,1.15926504875152,10.1000003814697,5165474,24501.7799104739,0.728697955146392,6.0879577149997
"624","FI","Finland",2000,24253.2504245786,3.36766688740135,9.69999980926514,5176209,26465.7521960602,-7.35534846611424,-6.68024878483431
"625","FI","Finland",2001,24913.2445163584,2.56623896017328,9.10000038146973,5188008,27541.9410224649,2.72126036809876,-4.83424628075941
"626","FI","Finland",2002,26834.0262501804,1.5621445978879,9,5200598,28421.2398938674,7.709881916668,10.6409482457923
"627","FI","Finland",2003,32816.160880214,0.877438551306563,9,5213014,28816.1192599611,22.2930937544022,31.7217468751067
"628","FI","Finland",2004,37636.1117341753,0.187123374563911,8.80000019073486,5228172,31084.2892191989,14.6877353251501,40.2551796859865
"629","FI","Finland",2005,38969.171631813,0.861059229478597,8.39999961853027,5246096,32065.1707160028,3.54197029452227,18.7499408418273
"630","FI","Finland",2006,41120.6765061581,1.56666666666664,7.59999990463257,5266268,34502.2665620973,5.52104338956154,9.25856740088977
