party_id,left_right,state_market,liberty_authority,eu_anti_pro,calculation_date
335,4.19999980926514,3.66666674613953,6.25,7.083333333333333,2012-10-15 12:08:04
336,,,,,2012-10-15 12:08:04
337,,,,,2012-10-15 12:08:04
339,,,,,2012-10-15 12:08:04
341,,,,8.333333333333334,2012-10-15 12:08:04
342,1.6,,,5.0,2012-10-15 12:08:04
345,4.506594319166959,4.991710550157647,1.762511944896298,8.623349248986493,2012-10-15 12:08:04
349,,,,,2012-10-15 12:08:04
350,,,,,2012-10-15 12:08:04
351,8.759454224495402,7.5,5.538847069991263,6.119047666850842,2012-10-15 12:08:04
353,5.526315789473684,5.7894736842105265,5.939849552355315,8.947368421052632,2012-10-15 12:08:04
354,3.019390608135021,2.6315789473684212,,,2012-10-15 12:08:04
355,,,,,2012-10-15 12:08:04
356,6.29,6.71,4.43,9.766666666666667,2012-10-15 12:08:04
357,1.214551395165293,1.0421115258492921,4.209868421052631,2.504901980098922,2012-10-15 12:08:04
358,,,,,2012-10-15 12:08:04
360,3.789473583823758,3.263157794350074,4.6315790477551895,9.263158095510368,2012-10-15 12:08:04
361,,,,,2012-10-15 12:08:04
362,4.888888888888889,,,,2012-10-15 12:08:04
363,,,,,2012-10-15 12:08:04
364,,,,,2012-10-15 12:08:04
366,,,,6.666666666666667,2012-10-15 12:08:04
367,,,,,2012-10-15 12:08:04
368,5.055204214501343,5.350877360293737,3.461538365012721,,2012-10-15 12:08:04
369,5.555555555555555,,,,2012-10-15 12:08:04
370,4.85,4.86,4.43,8.725000000000001,2012-10-15 12:08:04
372,,,,,2012-10-15 12:08:04
373,8.087119990399012,4.955942507543066,8.836644899970604,4.338888919395317,2012-10-15 12:08:04
374,,,,,2012-10-15 12:08:04
375,,,,,2012-10-15 12:08:04
376,,,,,2012-10-15 12:08:04
377,,,,,2012-10-15 12:08:04
378,6.844444444444444,8.18,2.5,9.758333333333333,2012-10-15 12:08:04
379,,,,5.0,2012-10-15 12:08:04
380,4.6,3.8,2.6,7.333333333333333,2012-10-15 12:08:04
382,2.867912109274613,3.1839473276389265,2.5869078539547163,9.044613074001518,2012-10-15 12:08:04
383,9.8,2.25,8.6,1.0000000000000002,2012-10-15 12:08:04
384,,,,,2012-10-15 12:08:04
385,,,,,2012-10-15 12:08:04
386,8.157894736842104,5.3007517362895795,7.964912213777263,,2012-10-15 12:08:04
388,,,,,2012-10-15 12:08:04
389,,,,,2012-10-15 12:08:04
393,,,,,2012-10-15 12:08:04
395,3.5595170837722088,3.5453867367694247,4.241718463646738,8.621036635616365,2012-10-15 12:08:04
397,,,,,2012-10-15 12:08:04
399,5.285,4.609999999999999,7.195,8.383333333333333,2012-10-15 12:08:04
401,3.989642806053163,4.167619024912517,4.2380952835083,7.936111044883729,2012-10-15 12:08:04
